업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
보광교통,8001,맞춤,공덕오거리,남대문시장,5,5,0,0,5,0,9,50,19,0,95,9,15,0530,2250
동아운수,8111,맞춤,화계사차고지,미아삼거리역,2,2,0,0,2,0,42,260,2,0,4,20,20,0640,1700
관악교통,8541,맞춤,호압사,강남역,3,0,3,3,0,0,29,120,1,0,3,10,20,0410,0450
공항버스,8663,맞춤,가양역,여의도역,4,4,0,0,0,4,20,50,0,3,12,3,4,0600,0900
다모아자동차,8663,맞춤,가양역,여의도역,1,1,0,0,1,0,20,50,3,0,3,3,4,0600,0900
신길운수,8663,맞춤,가양역,여의도역,0,0,0,7,0,0,20,50,3,0,21,3,4,0600,0900
신촌교통,8663,맞춤,가양역,여의도역,1,1,0,0,1,0,20,50,3,0,3,3,4,0600,0900
영인운수,8663,맞춤,가양역,여의도역,3,3,0,0,3,0,20,50,3,0,9,3,4,0600,0900
오케이버스,8663,맞춤,가양역,여의도역,1,1,0,0,1,0,20,50,3,0,3,3,4,0600,0900
중부운수,8663,맞춤,가양역,여의도역,2,2,0,0,2,0,20,50,3,0,6,3,4,0600,0900
제일여객,8772,맞춤,진관공영차고지,북한산성입구,0,0,0,0,0,0,13,35,0,0,0,0,0,-   ,-   
선진운수,8774,맞춤,갈현동,서대문구청,5,5,0,0,0,5,14,70,8,8,40,18,25,0610,2020
남성교통,9401,광역,구미동차고지,서울역,14,13,1,1,12,1,72,153,6,3,78,3,10,0430,2300
동성교통,9401,광역,구미동차고지,서울역,39,36,3,3,36,0,72,153,6,3,225,3,10,0430,2300
동성교통,9403,광역,성남 분당,동대문,28,26,2,0,23,3,74,207,5,2,121,9,11,0320,0100
남성교통,9404,광역,용인시 하갈동,강남구 신사역,28,25,3,3,24,1,56,110,7,4,184,5,10,0400,0000
남성교통,9408,광역,분당구 구미동,영등포,24,22,2,2,19,3,84,230,4,2,86,10,20,0400,2230
선진운수,9701,광역,고양시 가좌동,롯데영프라자,22,21,1,0,19,2,79,222,5,2,90,7,23,0500,2350
제일여객,9703,광역,일산,서울역,17,16,1,0,16,0,66,178,5,3,86,15,18,0500,2300
선진운수,9707,광역,고양 가좌동,영등포역,29,26,3,3,23,3,66,142,6,3,156,4,10,0500,0100
신성교통,9709,광역,파주시 맥금동,서울역,14,13,1,0,12,1,76,148,6,3,75,15,30,0450,0050
신성교통,9714,광역,교하 운정,서울역,7,6,1,0,6,0,75,150,6,3,36,25,40,0500,0100
대진여객,110A,간선,정릉,정릉,23,21,2,0,21,0,37,145,6,0,133,7,12,0400,2240
대진여객,110B,간선,정릉,정릉,22,21,1,0,21,0,37,147,6,0,133,7,12,0405,2245
메트로버스,2312A,지선,중랑차고지,강동차고지,4,3,1,1,3,0,42,165,6,3,24,11,16,0430,2250
북부운수,2312A,지선,중랑차고지,강동차고지,4,4,0,0,4,0,42,165,6,4,24,11,15,0430,2250
대원여객,2312B,지선,강동차고지,중랑차고지,5,3,2,1,3,0,42,165,6,0,24,12,18,0430,2250
서울승합,2312B,지선,강동차고지,중랑차고지,4,3,1,1,3,0,42,165,6,0,24,11,16,0430,2250
우신운수,4318방배,지선,풍납동한가람아파트,방배동,18,17,1,0,15,2,52,210,5,2,79,5,10,0430,2230
우신운수,4318풍납,지선,방배동,풍납동한가람아파트,20,19,1,0,19,0,52,210,5,0,95,5,10,0420,2230
보성운수,5522A,지선,난곡,난곡,13,12,1,0,10,2,20,95,10,5,110,9,13,0500,2330
보성운수,5522B,지선,보성운수종점,신림사거리,8,7,1,0,7,0,20,95,10,5,70,8,12,0500,2330
한남여객,5522B,지선,보성운수종점,신림사거리,4,3,1,0,3,0,20,95,10,5,30,8,12,0500,2330
세풍운수,6640A,지선,양천공영차고지,양천공영차고지,10,8,2,1,8,0,21,85,11,6,99,9,14,0430,2310
세풍운수,6640B,지선,양천공영차고지,양천공영차고지,10,8,2,1,8,0,21,85,11,6,99,9,14,0430,2310
유성운수,7013A,지선,은평차고지,남대문시장,9,8,1,0,7,1,39,155,6,4,46,15,30,0430,2308
유성운수,7013B,지선,은평차고지,남대문시장,9,8,1,0,7,1,39,155,6,4,46,15,30,0444,2310
선진운수,702A,간선,서오릉,종로1가,26,25,1,0,20,5,31,110,8,4,180,3,10,0400,2300
선진운수,702B,간선,용두초교,종로1가,16,15,1,0,12,3,32,123,8,4,106,5,18,0405,2250
신촌교통,750A,간선,덕은동종점,서울대학교,17,16,1,0,13,3,46,160,6,4,90,4,12,0400,2310
유성운수,750B,간선,은평차고지,서울대학교,18,16,2,0,14,2,44,133,6,4,92,4,13,0400,2310
신성교통,9711A,광역,일산,양재동,23,21,2,0,17,4,95,235,4,2,78,13,17,0500,2330
제일여객,9711A,광역,일산,양재동,2,0,2,2,0,0,95,235,4,2,4,13,17,0500,2330
신성교통,9711B,광역,진관차고지,양재동,1,1,0,0,0,1,71,180,5,2,2,20,30,0615,1805
